,0
15_min_incr_cos,-0.00037411396767890096
15_min_incr_sin,-0.0005292954760734604
ID_QH_VWAP_lag6,0.007266563952003285
hour_incr_cos,0.02155886768955186
hour_incr_sin,0.003953652423153009
imb_volume_jump_lag6,0.003013429936720687
imb_volume_lag6,0.5944386859180437
load_error_lag6,0.16070309351211645
net_reserve_lag6,0.07287786988812728
reserve_ramping_lag6,0.004670232576131604
solar_error_lag6,0.012326065947570405
total_reserve_lag6,0.036247135094328725
vwap_jump_lag6,-0.0007744043804383498
weekday_incr_cos,-0.0001772372294419159
weekday_incr_sin,-0.0005116812484433672
wind_error_lag6,0.08531113536432908
