,Model,Std_PnL_per_Trade,Avg_PnL_per_Trade,Nr_Trades,Total_PnL,PnL/Perfect_PnL,Max_Drawdown,PnL_T_Stat
0,RandomForest,"18,220","4,617","14,235","65,718,473",39.84%,-0.92%,24.25
1,HistGradientBoosting,"18,238","4,354","15,601","67,926,804",41.18%,-0.71%,26.22
2,LightGBM,"18,206","4,687","14,906","69,870,924",42.35%,-0.84%,26.41
