,0
15_min_incr_cos,0.00012297482487143052
15_min_incr_sin,7.123221835809822e-05
ID_QH_VWAP_lag6,0.002490407943329114
hour_incr_cos,0.032783974009993326
hour_incr_sin,0.004532135690621657
imb_volume_jump_lag6,0.0004629265784007596
imb_volume_lag6,0.6080541276280857
load_error_lag6,0.21447990426174043
net_reserve_lag6,0.0001805773522054861
reserve_ramping_lag6,-0.0006461682892830655
solar_error_lag6,0.010919649955001472
total_reserve_lag6,0.004952611643079418
vwap_jump_lag6,0.00114455168907018
weekday_incr_cos,0.0002258739480890899
weekday_incr_sin,-0.00015600537770961073
wind_error_lag6,0.12038122592414624
